tweet_id,tweet_text,date,user_id,user_mentions,retweet_count
1334783772856750081,RT @boringcompany: Tunnel Rave https://t.co/d3JKOIAsy7,12/04/2020,44196397,"[{'screen_name': 'boringcompany', 'name': 'The Boring Company', 'id': 859816394556284929, 'id_str': '859816394556284929', 'indices': [3, 17]}]",1054
1334643674823712768,@RationalEtienne And no toilet paper ,12/03/2020,44196397,"[{'screen_name': 'RationalEtienne', 'name': 'Pope of Muskanity', 'id': 2241150253, 'id_str': '2241150253', 'indices': [0, 16]}]",57
1334641206580682752,Watch Demolition Man,12/03/2020,44196397,[],3310
1334638535589195780,Prometheus Unbound,12/03/2020,44196397,[],1433
1334503970224680961,RT @SpaceX: The Falcon 9 booster supporting this mission previously launched @NASA astronauts Bob Behnken and Doug Hurley to the @space_sta,12/03/2020,44196397,"[{'screen_name': 'SpaceX', 'name': 'SpaceX', 'id': 34743251, 'id_str': '34743251', 'indices': [3, 10]}, {'screen_name': 'NASA', 'name': 'NASA', 'id': 11348282, 'id_str': '11348282', 'indices': [77, 82]}]",956
1334321901783511041,@ErcXspace @SpaceX @NASASpaceflight @Erdayastronaut @MarcusHouseGame @FelixSchlang Not bad,12/03/2020,44196397,"[{'screen_name': 'ErcXspace', 'name': 'Erc X', 'id': 1258538731054739456, 'id_str': '1258538731054739456', 'indices': [0, 10]}, {'screen_name': 'SpaceX', 'name': 'SpaceX', 'id': 34743251, 'id_str': '34743251', 'indices': [11, 18]}, {'screen_name': 'NASASpaceflight', 'name': 'Chris B - NSF', 'id': 21292523, 'id_str': '21292523', 'indices': [19, 35]}, {'screen_name': 'Erdayastronaut', 'name': 'Everyday Astronaut', 'id': 3167257102, 'id_str': '3167257102', 'indices': [36, 51]}, {'screen_name': 'MarcusHouseGame', 'name': 'Marcus House', 'id': 718325771392172033, 'id_str': '718325771392172033', 'indices': [52, 68]}, {'screen_name': 'FelixSchlang', 'name': 'What about it!?', 'id': 1139617177600954368, 'id_str': '1139617177600954368', 'indices': [69, 82]}]",76
1334188934545481730,@TheOnion It was a beast compared to the VIC-20,12/02/2020,44196397,"[{'screen_name': 'TheOnion', 'name': 'The Onion', 'id': 14075928, 'id_str': '14075928', 'indices': [0, 9]}]",103
1334127507906314240,"@Tesmanian_com Award accepted on behalf of the great people at Tesla, SpaceX, Neuralink &amp; Boring Co",12/02/2020,44196397,"[{'screen_name': 'Tesmanian_com', 'name': 'Tesmanian.com', 'id': 1100520274200416256, 'id_str': '1100520274200416256', 'indices': [0, 14]}]",283
1333974035294683137,"Much of what people think of an science is actually engineering, eg no such thing as a rocket scientist, only rocket engineers. Latter is who put humans on the moon.",12/02/2020,44196397,[],2160
1333972511524995072,"Science is discovering the essential truths about what exists in the Universe, engineering is about creating things that never existed
https://t.co/aIEUtHoPxM",12/02/2020,44196397,[],6182
1333969911790456833,@justpaulinelol It does get a bit cold at night,12/02/2020,44196397,"[{'screen_name': 'justpaulinelol', 'name': 'Pauline 🚀', 'id': 1080565281620193280, 'id_str': '1080565281620193280', 'indices': [0, 15]}]",174
1333742310388064256,@engineers_feed Paint makes a hell of a difference,12/01/2020,44196397,"[{'screen_name': 'engineers_feed', 'name': 'World of Engineering', 'id': 3429950987, 'id_str': '3429950987', 'indices': [0, 15]}]",215
1333550953811861505,@DeepMind Congrats!,11/30/2020,44196397,"[{'screen_name': 'DeepMind', 'name': 'DeepMind', 'id': 4783690002, 'id_str': '4783690002', 'indices': [0, 9]}]",86
1333544636137283586,@lrocket Thanks for everything you did to help build SpaceX! Some of the best memories ever.,11/30/2020,44196397,"[{'screen_name': 'lrocket', 'name': 'Tom Mueller', 'id': 323623472, 'id_str': '323623472', 'indices': [0, 8]}]",426
1333477514581336066,@RGVaerialphotos It will be real soon,11/30/2020,44196397,"[{'screen_name': 'RGVaerialphotos', 'name': 'RGVAerialPhotography', 'id': 752724282925412352, 'id_str': '752724282925412352', 'indices': [0, 16]}]",113
1333183238244855809,"@MarcusHouseGame @bcart03 @nextspaceflight @NASASpaceflight Starship legs are one of the hardest problems. Externally mounted legs require shielding, which adds mass. Wider stance adds mass. Shock absorbers add mass. That said, we need better legs.",11/29/2020,44196397,"[{'screen_name': 'MarcusHouseGame', 'name': 'Marcus House', 'id': 718325771392172033, 'id_str': '718325771392172033', 'indices': [0, 16]}, {'screen_name': 'bcart03', 'name': 'Ben Carter', 'id': 736150745238622208, 'id_str': '736150745238622208', 'indices': [17, 25]}, {'screen_name': 'nextspaceflight', 'name': 'Michael Baylor', 'id': 3199948059, 'id_str': '3199948059', 'indices': [26, 42]}, {'screen_name': 'NASASpaceflight', 'name': 'Chris B - NSF', 'id': 21292523, 'id_str': '21292523', 'indices': [43, 59]}]",176
1333123941297233920,"@bcart03 @nextspaceflight @NASASpaceflight Static fire is not risky from build site, but we need to clear the build site for early flights",11/29/2020,44196397,"[{'screen_name': 'bcart03', 'name': 'Ben Carter', 'id': 736150745238622208, 'id_str': '736150745238622208', 'indices': [0, 8]}, {'screen_name': 'nextspaceflight', 'name': 'Michael Baylor', 'id': 3199948059, 'id_str': '3199948059', 'indices': [9, 25]}, {'screen_name': 'NASASpaceflight', 'name': 'Chris B - NSF', 'id': 21292523, 'id_str': '21292523', 'indices': [26, 42]}]",75
1333123173815087111,@nextspaceflight @NASASpaceflight Just a static fire tomorrow. Flight no earlier than Wednesday.,11/29/2020,44196397,"[{'screen_name': 'nextspaceflight', 'name': 'Michael Baylor', 'id': 3199948059, 'id_str': '3199948059', 'indices': [0, 16]}, {'screen_name': 'NASASpaceflight', 'name': 'Chris B - NSF', 'id': 21292523, 'id_str': '21292523', 'indices': [17, 33]}]",351
1332778000551702533,@ErcXspace @SpaceX It will have landing legs,11/28/2020,44196397,"[{'screen_name': 'ErcXspace', 'name': 'Erc X', 'id': 1258538731054739456, 'id_str': '1258538731054739456', 'indices': [0, 10]}, {'screen_name': 'SpaceX', 'name': 'SpaceX', 'id': 34743251, 'id_str': '34743251', 'indices': [11, 18]}]",198
1332753223912972297,"@eugenelee3 @PPathole @karpathy Yes, very sad news. Tony was great.",11/28/2020,44196397,"[{'screen_name': 'eugenelee3', 'name': 'eugenelee3', 'id': 11026992, 'id_str': '11026992', 'indices': [0, 11]}, {'screen_name': 'PPathole', 'name': 'Pranay Pathole', 'id': 1291945442, 'id_str': '1291945442', 'indices': [12, 21]}, {'screen_name': 'karpathy', 'name': 'Andrej Karpathy', 'id': 33836629, 'id_str': '33836629', 'indices': [22, 31]}]",39
1332747728984678402,"@PPathole @karpathy For a second there, I thought that was a pic of Thanos haha",11/28/2020,44196397,"[{'screen_name': 'PPathole', 'name': 'Pranay Pathole', 'id': 1291945442, 'id_str': '1291945442', 'indices': [0, 9]}, {'screen_name': 'karpathy', 'name': 'Andrej Karpathy', 'id': 33836629, 'id_str': '33836629', 'indices': [10, 19]}]",33
1332501090483527682,"@Poppa_BearQ @ID_AA_Carmack Yeah, truncate zeros &amp; then round",11/28/2020,44196397,"[{'screen_name': 'Poppa_BearQ', 'name': 'Sirrah Divad', 'id': 990380726032916480, 'id_str': '990380726032916480', 'indices': [0, 12]}, {'screen_name': 'ID_AA_Carmack', 'name': 'John Carmack', 'id': 175624200, 'id_str': '175624200', 'indices': [13, 27]}]",23
1332500802750083074,@dburkland @ID_AA_Carmack Probably going to a wider beta in ~2 weeks,11/28/2020,44196397,"[{'screen_name': 'dburkland', 'name': 'Dan Burkland', 'id': 162527761, 'id_str': '162527761', 'indices': [0, 10]}, {'screen_name': 'ID_AA_Carmack', 'name': 'John Carmack', 'id': 175624200, 'id_str': '175624200', 'indices': [11, 25]}]",106
1332493771074887681,@ID_AA_Carmack fp16 with least important digits truncated (so it feels like fp32) is what were betting on for training with Dojo,11/28/2020,44196397,"[{'screen_name': 'ID_AA_Carmack', 'name': 'John Carmack', 'id': 175624200, 'id_str': '175624200', 'indices': [0, 14]}]",33
